Rank,Word,CEFR,PartOfSpeech,IPA_UK,Chinese,Collocation,Example_EN,Example_CN,Synonym,Antonym,MemoryTip
2101,highway,B1,noun,/ˈhaɪweɪ/,公路,busy highway;highway traffic;along the highway,Heavy traffic blocked the busy highway for two hours.,拥堵让繁忙的公路堵了两小时。,motorway;road,,high + way：主要公路。
2102,hijack,B1,verb,/ˈhaɪdʒæk/,劫持,hijack a plane;hijack the conversation;hijack a car,Do not let one person hijack the whole conversation.,不要让一个人霸占整场对话。,seize;take over,,hijack：劫持，也指令人抢走话题。
2103,hip,B1,noun,/hɪp/,臀部,hip bone;hand on hip;narrow hips,She put her hand on her hip and waited patiently.,她把手放在髋上耐心等待。,pelvis side,,hip：臀部两侧。
2104,hire,B1,verb,/ˈhaɪə(r)/,雇用；租用,hire a car;hire staff;for hire,We decided to hire a car for the weekend trip.,我们决定租车度周末。,rent;employ,fire;dismiss,hire：雇用或租赁（英式常用）。
2105,historic,B1,adj.,/hɪˈstɒrɪk/,历史上著名的,historic building;historic moment;historic event,The old town hall is a historic building from 1850.,这座旧市政厅是1850年的历史建筑。,notable;landmark,,historic：历史上重要的。
2106,historical,B1,adj.,/hɪˈstɒrɪkl/,历史的,historical novel;historical fact;historical research,She prefers historical novels set in Victorian England.,她更喜欢背景设在维多利亚时代英国的历史小说。,past-related;documented,,historical：与历史有关的。
2107,hit,B1,verb;noun,/hɪt/,打；成功,hit a ball;hit by;big hit,The new song became a big hit within a week.,这首新歌一周内成了大热门。,strike;success,miss,hit：击打，也指成功之作。
2108,hockey,B1,noun,/ˈhɒki/,曲棍球,play hockey;ice hockey;hockey stick,She plays hockey for the school team every Saturday.,她每周六为校队打曲棍球。,,,hockey：曲棍球/冰球。
2109,hold,B1,verb,/həʊld/,握住；举行,hold a meeting;hold on;hold hands,Please hold the door open for the next person.,请为下一个人扶住门。,grip;keep,release,hold：抓住或举行。
2110,hole,B1,noun,/həʊl/,洞,dig a hole;black hole;hole in,There is a small hole in my jumper sleeve.,我毛衣袖子上有个小洞。,opening;gap,,hole：洞孔。
2111,hollow,B1,adj.,/ˈhɒləʊ/,空心的,hollow tree;hollow sound;feel hollow,Birds nested inside the hollow tree by the river.,鸟在河边空心树里筑巢。,empty;sunken,solid,hollow：中空的。
