Rank,Word,CEFR,PartOfSpeech,IPA_UK,Chinese,Collocation,Example_EN,Example_CN,Synonym,Antonym,MemoryTip
1801,exhibition,B1,noun,/ˌeksɪˈbɪʃn/,展览；展览会,art exhibition;exhibition hall;on exhibition,The art exhibition opens to the public on Friday.,艺术展周五向公众开放。,display;show,,exhibit + ion：把作品摆出来给人看。
1802,producer,B1,noun,/prəˈdjuːsə(r)/,制片人；生产者,film producer;executive producer;oil producer,The producer raised money for the new film.,制片人为新电影筹集资金。,maker;manufacturer,consumer,produce + r：负责制作或出品的人。
1803,regional,B1,adj.,/ˈriːdʒənl/,地区的；区域性的,regional office;regional development;regional manager,Regional offices handle local customer requests.,地区办事处处理当地客户需求。,local;territorial,national;global,region + al：属于某个区域的。
1804,immediate,B1,adj.,/ɪˈmiːdiət/,立即的；直接的,immediate effect;immediate family;immediate action,The policy had an immediate effect on prices.,该政策对价格产生了立竿见影的影响。,instant;direct,delayed;indirect,im + mediate：中间不隔、马上就到。
1805,incident,B1,noun,/ˈɪnsɪdənt/,事件；事故,serious incident;report an incident;isolated incident,Police are investigating a minor traffic incident.,警方正在调查一起轻微交通事故。,event;occurrence,,incident：突然发生、值得记录的事。
1806,childhood,B1,noun,/ˈtʃaɪldhʊd/,童年；幼年,early childhood;happy childhood;childhood memory,She has fond memories of her childhood summers.,她对童年夏日有美好回忆。,youth;infancy,adulthood,child + hood：当孩子的那段岁月。
1807,draft,B1,noun; verb; adj.,/drɑːft/,草稿；起草；征兵,first draft;draft a letter;draft beer,Please send me the first draft by Monday.,请周一前把初稿发给我。,outline;sketch,final version,draft：还没定稿、可再改的稿子。
1808,slip,B1,verb; noun,/slɪp/,滑倒；溜走；纸条,slip on ice;slip away;pay slip,Be careful not to slip on the wet floor.,小心别在湿地上滑倒。,slide;fall,grip;hold,slip：脚底下打滑、站不稳。
1809,accompany,B1,verb,/əˈkʌmpəni/,陪伴；伴随,accompany someone;accompany a meal;accompany on piano,Children must be accompanied by an adult.,儿童必须由成人陪同。,escort;go with,leave;abandon,ac + company：带着同伴一起走。
1810,politician,B1,noun,/ˌpɒləˈtɪʃn/,政治家；政客,local politician;career politician;young politician,The politician promised to improve public transport.,这位政客承诺改善公共交通。,statesman;lawmaker,,politic + ian：搞政治、从政的人。
1811,angry,B1,adj.,/ˈæŋɡri/,生气的；愤怒的,get angry;angry with;angry look,She was angry about the late delivery.,她对延迟送达感到生气。,mad;furious,calm;pleased,angry：心里冒火、不高兴。
