Rank,Word,CEFR,PartOfSpeech,IPA_UK,Chinese,Collocation,Example_EN,Example_CN,Synonym,Antonym,MemoryTip
1901,accommodation,B1,noun,/əˌkɒməˈdeɪʃn/,住宿；膳宿,student accommodation;book accommodation;temporary accommodation,We booked accommodation near the conference centre.,我们在会议中心附近订了住处。,lodging;housing,,accommodate + ion：给你安顿下来的地方。
1902,highlight,B1,verb; noun,/ˈhaɪlaɪt/,突出；强调；亮点,highlight the issue;highlight of;highlight key points,The report highlights several safety concerns.,报告强调了若干安全问题。,emphasize;feature,downplay;hide,high + light：用亮光把重点照出来。
1903,reporter,B1,noun,/rɪˈpɔːtə(r)/,记者；报道员,news reporter;court reporter;foreign reporter,A reporter asked questions after the press conference.,新闻发布会后一名记者提问。,journalist;correspondent,,report + er：负责报道新闻的人。
1904,climate,B1,noun,/ˈklaɪmət/,气候；氛围,climate change;political climate;warm climate,Climate change affects farming in many regions.,气候变化影响许多地区的农业。,weather;atmosphere,,climate：长期天气模式，也指环境气氛。
1905,shirt,B1,noun,/ʃɜːt/,衬衫,white shirt;dress shirt;T shirt,He wore a clean white shirt to the interview.,他穿了一件干净白衬衫去面试。,blouse;top,,shirt：上身常穿的有领或无领衫。
1906,exception,B1,noun,/ɪkˈsepʃn/,例外,with the exception of;no exception;make an exception,"Everyone must attend, with no exception.",所有人都必须参加，无一例外。,exclusion;anomaly,rule;norm,except + ion：从规则里挑出来不遵守的。
1907,corporation,B1,noun,/ˌkɔːpəˈreɪʃn/,公司；企业,multinational corporation;corporation tax;private corporation,She works for a large technology corporation.,她在一家大型科技公司工作。,company;business,,corporate + ion：依法组成的大公司实体。
1908,chip,B1,noun; verb,/tʃɪp/,芯片；碎片；炸薯条,computer chip;chocolate chip;chip away,The new phone uses a faster computer chip.,新手机使用了更快的芯片。,fragment;processor,,chip：小薄片，也指电脑里的芯片。
1909,winner,B1,noun,/ˈwɪnə(r)/,获胜者；赢家,prize winner;clear winner;winner takes all,The winner received a gold medal on stage.,获胜者在台上领取了金牌。,champion;victor,loser;defeated,win + er：赢得比赛或竞争的人。
1910,encounter,B1,verb; noun,/ɪnˈkaʊntə(r)/,遭遇；遇到；邂逅,encounter problems;chance encounter;encounter with,We encountered heavy traffic on the motorway.,我们在高速公路上遇到了严重拥堵。,meet;face,avoid;miss,en + counter：迎面碰上、撞见。
1911,brown,B1,adj.; noun; verb,/braʊn/,棕色的；褐色,brown hair;brown bread;brown sugar,She has long brown hair and green eyes.,她有一头棕色长发和绿眼睛。,tan;dark,,brown：像泥土、巧克力那样的褐色。
1912,breathe,B1,verb,/briːð/,呼吸,breathe deeply;breathe in;breathe out,Stop running and breathe slowly for a minute.,别跑了，慢慢呼吸一分钟。,inhale;exhale,,breathe：鼻子或嘴吸吐气（勿与 breath 混淆）。
1913,excuse,B1,verb; noun,/ɪkˈskjuːs/,原谅；借口,excuse me;make an excuse;no excuse,"Excuse me, could you tell me the time?",打扰一下，请问现在几点？,forgive;justify,blame;accuse,ex + cuse：把过错放过去或找理由推脱。
1914,partly,B1,adv.,/ˈpɑːtli/,部分地；在一定程度上,partly because;partly responsible;partly cloudy,The delay was partly due to bad weather.,延误部分是由于恶劣天气。,partially;somewhat,fully;completely,part + ly：只占一部分、不是全部。
1915,tennis,B1,noun,/ˈtenɪs/,网球,play tennis;tennis court;tennis racket,They play tennis every Saturday morning.,他们每周六上午打网球。,,,tennis：用球拍在球场上对打的运动。
1916,urban,B1,adj.,/ˈɜːbən/,城市的；都市的,urban area;urban development;urban life,Urban areas often have better public transport.,城市地区往往公共交通更便利。,city;metropolitan,rural;suburban,urban：跟城市、市区生活相关的。
1917,confuse,B1,verb,/kənˈfjuːz/,使困惑；混淆,confuse someone;confuse with;easily confused,Similar names often confuse new students.,相似的名字常让新生搞混。,bewilder;mix up,clarify;explain,con + fuse：把不同东西搅在一起分不清。
1918,southern,B1,adj.,/ˈsʌðən/,南方的；南部的,southern region;southern Europe;southern border,Southern cities enjoy milder winters.,南方城市冬天更温和。,southerly;south,northern;north,south + ern：属于南边方向的。
1919,output,B1,noun; verb,/ˈaʊtpʊt/,产量；输出,economic output;high output;output data,Factory output increased by ten percent.,工厂产量增长了百分之十。,production;yield,input;consumption,out + put：从系统里产出的结果。
1920,beauty,B1,noun,/ˈbjuːti/,美丽；美人,natural beauty;beauty salon;beauty of nature,We admired the beauty of the mountain lake.,我们欣赏山间湖泊的美景。,loveliness;charm,ugliness,beauty：让人赏心悦目的美。
